Comentarios,Categoria
SI ME QUEREIS MANDAR UN MENSAJE PERSONAL AQUÍ OS CONTESTO -> https://www.instagram.com/arturolorenzo10,Lifestyle_(sociology) Food 
"Simplemente exquisito!
Se notó que les gustaron tus manjares
Espero se lo hayan pasado de perlas 
Saludos MAJO!",Lifestyle_(sociology) Food 
Que rico se ve todo!!!!,Lifestyle_(sociology) Food 
"Te ha quedado bien, y que bueno que le ha gustado a tus invitados y buen provecho! Y me ha encantado eso de acepta la gordura como forma de vida ,me hace gracia 🤣",Lifestyle_(sociology) Food 
lo texmex es mexicano con ingredientes gringos,Lifestyle_(sociology) Food 
"Los nachos son 100% mexicanos, son muy reconocidos a nivel internacional y piensan que son comida Tex Mex, pero en realidad son mexicanos, del norte para ser exactos",Lifestyle_(sociology) Food 
"Hola, Arturo! Para todos los mexicanos que piensan que los nachos son tex-mex solo porque en Gringolandia los han vuelto favoritos y los comercializan por todos lados, pues no, su origen es netamente mexicano, de Piedras Negras, Coahuila, en el norte de México...copio link de info....son tan mexicanos como los burritos y la flor de nochebuena que conocen como de pascua o poinssetia, que fue sustraída por un ex embajador gringo que además se atrevió a patentarla con su apellido...menos mal que el hurto y apropiación indebida es tema conocido...saludos, excelente Chef Arturo!!! https://es.m.wikipedia.org/wiki/Nachos#:~:text=La%20historia%20cuenta%20que%20en,lo%20poco%20que%20ten%C3%ADa%20disponible",Lifestyle_(sociology) Food 
"Grande Arturo, te mereces lo mejor, se me hizo agua la boca al ver esos platillos,  saludos desde Nicaragua, viva España y viva México y sus platillos tan deliciosos",Lifestyle_(sociology) Food 
"Los nachos NO están en tela de juicio, son mexicanos, son del estado de Coahuila :/, haha los del centro y sur que no han viajado al norte te dirán que los burritos y nachos son tex-mex no por querer mentir, solo que justo no conocen y al ser estados fronterizos creen que todo es ""gringo""... todo mundo sabe del pastor o cochinita, pero demeritan y no le han dado la importancia que merece a la comida del norte, que es excelente.

Por cierto, los nachos no se hacen con totopos, haha pero bueno, sino con nachos, los redondos, pero bueno, se veían muy buenos.",Lifestyle_(sociology) Food 
"Un gustazo saber que hay un embajador de la gastronomía mexicana mas representadonos en España. Saludos desde Baja California México, una de los epicentros de la cocina actual mexicana.",Lifestyle_(sociology) Food 
"La historia cuenta que en la ciudad de Piedras Negras, Coahuila (México), en un pequeño restaurante llamado El Moderno, llegaron varias esposas de militares estadounidenses después de haber cerrado el restaurante, entonces el chef Ignacio Anaya [1] les preparó ingeniosamente un platillo con lo poco que tenía disponible: totopos queso y Elote. La historia de su origen varía en esta ciudad, pero se sabe que una de las personas en la mesa aquel día preguntó al mesero «¿Cómo se llama?», refiriéndose al platillo. El mesero respondió con su hipocorístico «Nacho». El platillo fue incrementando su fama, y simplemente le pusieron el nombre de «nacho». Cuando la gente quería el platillo, solo decía «Quiero unos nachos».",Lifestyle_(sociology) Food 
Felicidades Arturo te estas convirtiendo en mi youtuber fafavorito !!👍👏👏🥟🥟🎊,Lifestyle_(sociology) Food 
Me encantaron los nachos 😋,Lifestyle_(sociology) Food 
Le falto un chile serrano molido a tu guacamole 👌,Lifestyle_(sociology) Food 
"Los nachos son tex-mex aún que en la ciudad de Piedras Negras, Coahuila hacen la feria de los nachos y comentan los lugareños que es de esa ciudad",Lifestyle_(sociology) Food 
Wowowowoowowowoeoowowo felicidadessssssss y muchas graciassssss,Lifestyle_(sociology) Food 
"Te aplaudo, seguro terminaste full de cansado! Jajaja se ve buenísimo todo! Que bien que te animaste a hacer platillos mexicanos! Mis respetos! Ya te ganaste más corazones! Se ve deli!❤",Lifestyle_(sociology) Food 
Eres todo un cheff felicidades amigo un gran abrazo fuerte cuídate mucho 🇲🇽🇲🇽🇲🇽🇪🇦🇪🇦 los mejores,Lifestyle_(sociology) Food 
Felicidades Arturo todo se veía muy rico y que siga subiendo tu canal saludos,Lifestyle_(sociology) Food 
"¡De verdad, muchísimas felicidades, Arturo, te deseo que sigas creciendo y que vengan más cosas buenas!",Lifestyle_(sociology) Food 
"Te luciste, se mira muy delicioso",Lifestyle_(sociology) Food 
"Pues muchos te podrían ver raro por hacer enchiladas con tortillas de harina, pero para mí experimentar es uno de los placeres de la cocina. Hay que conocer las basases, que tú ya dominas, y después el cielo es el límite",Lifestyle_(sociology) Food 
"Ya estas listo para poner restaurante, macho!",Lifestyle_(sociology) Food 
"Puedes ser un gran chef amigo Arturo
Felicidades",Lifestyle_(sociology) Food 
Según yo los nachos son de Chihuahua :3,Lifestyle_(sociology) Food 
Kechulada parce no me dejaras mentir 7v7,Lifestyle_(sociology) Food 
QUE CHULAS AMIGAS... FELICIDADES,Lifestyle_(sociology) Food 
Felicidades tío  desde México.,Lifestyle_(sociology) Food 
"Gordaco, te felicito  wey , eres chingon  desde Guadalajara Jalisco México saludos cordiales tío...",Lifestyle_(sociology) Food 
"Los nachos originales llevan totopos, queso cheddar revuelto con leche y queso chihuahua, frijoles pintos de la olla, tiras de carne arrechera,  guacamole y chiles jalapeños en vinagre. Ponerle carne molida, chili beans, agregarle crema agria y cebollín, es hacer nachos tex mex.",Lifestyle_(sociology) Food 
Bien logrado!,Lifestyle_(sociology) Food 
"Los nachos no es comida tex mex, es una botana (aperitivo) del norte de México. En algunas partes del norte de México no conocemos los tacos al pastor o las tlayudas o la cochinita pibil. Acá comemos carne asada, fajitas, chimichangas, chilorio, tacos de pescado o aguachile.",Lifestyle_(sociology) Food 
"Arturo, hermano. Ya eres mexicano!...Gracias por el gran esfuerzo que haces, y aprender de nuestra gastronomía. Todo se ve delicioso. Que ganas me dieron de meterme en el video y robarte una probadita de los nachos, y los tacos al pastor! DELICIOSO!...",Lifestyle_(sociology) Food 
"Que Grande!!!....Impresionante tu manera de cocinar comida Mexicana .Saludos y gracias por exponer al mundo nuestra gastronomia.
Un fuerte abrazo desde California!",Lifestyle_(sociology) Food 
"Yo t doy un 10.
Arturo gracias por representarnos
Haya en Espana.con.tus.amigos
((Estoy muy orgulloso de ti.))
Tu una vez llegando a Mexico y ni t.quedras regresar a casa.
Veo la Pasion en tus ojos y el deseo de conocer Mexico en persona",Lifestyle_(sociology) Food 
Chida invi,Lifestyle_(sociology) Food 
"FLIPEEEE , MOGOLLON , DESDE MEXICO",Lifestyle_(sociology) Food 
Me gustaría conocerte en persona quiero ir a España,Lifestyle_(sociology) Food 
Eres un perro pa la cocina pinche Arturo!!!,Lifestyle_(sociology) Food 
"Super anfitrión !!! Todo se veía muy rico y estoy segura de que sabía delicioso. Felicidades ti primer noche mexicana 💚🇲🇽  Super tus vídeos, recetas, reacciones; mucho éxito Arturo",Lifestyle_(sociology) Food 
"¡¡Felicidades!! Después que nos visites, llegarás con muchas recetas para deleitar a tus invitados...",Lifestyle_(sociology) Food 
"Ame que sin querer hiciste unas enchiladas tipo burrito, ánimo Arturo",Lifestyle_(sociology) Food 
"Aaah, yo quiero que seas ""el hermano de mi novio"". Pa' mi cumple. 😋",Lifestyle_(sociology) Food 
"ARTURO TE QUIERO DECIR QUE ME HICISTE SENTIR TODAVIA MAS ORGULLOSA DE SER MEXICANA EL QUE TU SIENDO ESPAÑOL HAYAS PREFERIDO HACER PLATILLOS MEXICANOS PARA TU FAMILIA Y AMISTADES, SALUDOS DESDE GUADALAJARA, JAL. MX.",Lifestyle_(sociology) Food 
"Se veia todo muy rico, enhorabuena",Lifestyle_(sociology) Food 
Ya te la sabes,Lifestyle_(sociology) Food 
muy buen video el de hoy,Lifestyle_(sociology) Food 
Muy bien todo pero las enchiladas no se hacen con tortilla de harina y mucho menos en horno,Lifestyle_(sociology) Food 
No les pico??? Ya los españoles de por sí no comen picante,Lifestyle_(sociology) Food 
Excelente video Arturo!! A mis hijos y a mi nos encanta como haces tus videos. Que siga creciendo tu canal. Saludos de Hachi-Huy desde Reynosa México.,Lifestyle_(sociology) Food 
alvaro amigo hace directo mañana o a la tarde en argentina,Video_game_culture Role-playing_video_game Action-adventure_game Strategy_video_game Action_game 
"Endles wow ya termino su contenido, pero cuando empezo el 2020 era full de gente y buena gente jugando",Video_game_culture Role-playing_video_game Action-adventure_game Strategy_video_game Action_game 
En que server hay muchos españoles o hispanos? Estoy harto de jugar solo,Video_game_culture Role-playing_video_game Action-adventure_game Strategy_video_game Action_game 
hola alvarito una cosita comprar oro para wow es legal?,Video_game_culture Role-playing_video_game Action-adventure_game Strategy_video_game Action_game 
season 3 no tier 6...,Video_game_culture Role-playing_video_game Action-adventure_game Strategy_video_game Action_game 
Pero mago richaaard,Video_game_culture Role-playing_video_game Action-adventure_game Strategy_video_game Action_game 
"Si te puedes dedicar a esto es porque tus 2 padres son abogados y no necesitáis dinero (lo cual me alegro).
Seguramente si os hiciera falta el dinero no te hubieras atrevido a dar el gran paso y hubieras seguido con tus estudios.

También creo que si te atreviste a dar el paso es porque sabes que si esto de Twitch o YouTube te va mal puedes acabar la carrera y enchufarte directo al despacho de tus padres (lo cual no critico).

Enhorabuena por tu pérdida de peso pero no puedo alabarte del todo por valiente.",Video_game_culture Role-playing_video_game Action-adventure_game Strategy_video_game Action_game 
Alvaro que fue con tu canal principal ?,Video_game_culture Role-playing_video_game Action-adventure_game Strategy_video_game Action_game 
"Álvaro, para cuando videos como los de antes en el canal principal?",Video_game_culture Role-playing_video_game Action-adventure_game Strategy_video_game Action_game 
"Amigo yo que tengo dos magos como usted esta pensando hacer y de pana te lo digo es una tortura  osea como te digo que gastaras mas tiempo ya que tendrás que subir dos a la vez, yo te recomiendo que  lo subas solo para profesiones que es lo mas recomendable ademas tendras que armar varios pj al mismo tiempo",Video_game_culture Role-playing_video_game Action-adventure_game Strategy_video_game Action_game 
bien crack 👍👍❤,Video_game_culture Role-playing_video_game Action-adventure_game Strategy_video_game Action_game 
"Buen video brou, yo recien voy a empezar classic, a ver que tal, saludos.",Video_game_culture Role-playing_video_game Action-adventure_game Strategy_video_game Action_game 
30:33 blizzard dijo que este tbc viene cambios,Video_game_culture Role-playing_video_game Action-adventure_game Strategy_video_game Action_game 
Vaaaaaamo Álvaro... En la escala del 1 al 10. Que tan real ves la fecha?,Video_game_culture Role-playing_video_game Action-adventure_game Strategy_video_game Action_game 
Voooo un comentario cuenta?,Lifestyle_(sociology) Entertainment Hobby Film 
Wow,Lifestyle_(sociology) Entertainment Hobby Film 
YouTube no me notifica el nuevo video yo : @_@,Lifestyle_(sociology) Entertainment Hobby Film 
☜(ﾟヮﾟ☜)(☞ﾟヮﾟ)☞,Lifestyle_(sociology) Entertainment Hobby Film 
No se que comrntar,Lifestyle_(sociology) Entertainment Hobby Film 
"Nadie:
Yo: **guarda el video para más tarde**",Lifestyle_(sociology) Entertainment Hobby Film 
Yo solo comento para que se mas recomendado él vídeo 😁😁😁,Lifestyle_(sociology) Entertainment Hobby Film 
"Un poco mas y me resumias el anime número 2

Psdt: Solo dijo el nombre",Lifestyle_(sociology) Entertainment Hobby Film 
Dhdjdh,Lifestyle_(sociology) Entertainment Hobby Film 
Deberias colocar los nombre de los animes en vez de decirlos,Lifestyle_(sociology) Entertainment Hobby Film 
Wuen video :'3,Lifestyle_(sociology) Entertainment Hobby Film 
4:43 es un anime buenardo para nada llore EE no neta todos lloramos y si no pito galáctico,Lifestyle_(sociology) Entertainment Hobby Film 
Si Ai alguien que le gane es saitama,Lifestyle_(sociology) Entertainment Hobby Film 
Hi,Lifestyle_(sociology) Entertainment Hobby Film 
Nice,Lifestyle_(sociology) Entertainment Hobby Film 
Hola también quiero ser influyente,Lifestyle_(sociology) Entertainment Hobby Film 
Hot,Lifestyle_(sociology) Entertainment Hobby Film 
Name de la miniatura,Lifestyle_(sociology) Entertainment Hobby Film 
Holaaaas,Lifestyle_(sociology) Entertainment Hobby Film 
Dou,Lifestyle_(sociology) Entertainment Hobby Film 
En el titulo dice 5 y en el vídeo hay 6 🤣🤣🤣🤣🤣,Lifestyle_(sociology) Entertainment Hobby Film 
E,Lifestyle_(sociology) Entertainment Hobby Film 
Kido humilde,Lifestyle_(sociology) Entertainment Hobby Film 
Yutgidfo,Lifestyle_(sociology) Entertainment Hobby Film 
Juju,Lifestyle_(sociology) Entertainment Hobby Film 
Como cojones se llama la canción de los números de los topes?,Lifestyle_(sociology) Entertainment Hobby Film 
1k,Lifestyle_(sociology) Entertainment Hobby Film 
:v,Lifestyle_(sociology) Entertainment Hobby Film 
5:35 como dijistes xd,Lifestyle_(sociology) Entertainment Hobby Film 
Genial,Lifestyle_(sociology) Entertainment Hobby Film 
F por los Dies mil likes en menos de veinticuatro horas.XD,Lifestyle_(sociology) Entertainment Hobby Film 
Solo comento xd ;)💪,Lifestyle_(sociology) Entertainment Hobby Film 
"Casi los 1,000 xd",Lifestyle_(sociology) Entertainment Hobby Film 
Lo siento llege tarde,Lifestyle_(sociology) Entertainment Hobby Film 
1,Lifestyle_(sociology) Entertainment Hobby Film 
Buen video,Lifestyle_(sociology) Entertainment Hobby Film 
00:25 10 mil comentarios??? alv,Lifestyle_(sociology) Entertainment Hobby Film 
Cómo se llama la canción de la intro,Lifestyle_(sociology) Entertainment Hobby Film 
Hola,Lifestyle_(sociology) Entertainment Hobby Film 
Hola,Lifestyle_(sociology) Entertainment Hobby Film 
4:05 SAITAMA CONTRA EL PAPA DE BAKI,Lifestyle_(sociology) Entertainment Hobby Film 
Bxhsvvsuzhs,Lifestyle_(sociology) Entertainment Hobby Film 
Asas,Lifestyle_(sociology) Entertainment Hobby Film 
Yo ya melovi,Lifestyle_(sociology) Entertainment Hobby Film 
Yo ni veo anime pero me lo recomendó YouTube 😂,Lifestyle_(sociology) Entertainment Hobby Film 
0000,Lifestyle_(sociology) Entertainment Hobby Film 
Fjy,Lifestyle_(sociology) Entertainment Hobby Film 
Ya por que se enojan,Lifestyle_(sociology) Entertainment Hobby Film 
F,Lifestyle_(sociology) Entertainment Hobby Film 
F,Lifestyle_(sociology) Entertainment Hobby Film 
"Apoya la continuidad de este canal en:
- Patreon: http://www.patreon.com/juanrallo
- Youtube: https://www.youtube.com/channel/UCBLCvUUCiSqBCEc-TqZ9rGw/join
- Twitch: www.twitch.tv/juanrallo
- Paypal: https://bit.ly/2VEQ4QF
- Bitcoin: https://tippin.me/@juanrallo
- Bitcoin: https://paynym.is/+whiteheart43B
- Facebook: https://tinyurl.com/y4olp4qx
- Tienda en Teespring: https://teespring.com/stores/juanrallo",Society Politics 
"Gracias por subir el vídeo, me ha encantado y es un placer escucharte siempre. Pedro no me ha gustado mucho, infovlogger, sí.",Society Politics 
"Rallo mostrando un nivel enorme, por otra parte no sé cómo se sigue invitando a Pedro Insua a debates donde nada aporta más allá de su matraca chovinista y nacionalista española.

Por todo lo demás buen debate.",Society Politics 
Muy grande Infovloger! Ahí poniendo en su sitio a los jetas de furor tv,Society Politics 
Los de furor tv son de nivel de secundaria,Society Politics 
"Alguien me puede dar una razón médica por la que el toque de queda evita contagios. Lo evita el no hacer fiestas nocturnas, pero el toque de queda por esa razón es como no dejarte conducir porque igual se te da por atropellar gente.",Society Politics 
"¿Insua está borracho o es así de incoherente siempre?
1º Si solo es el estado el que decide por qué se culpa a Ayuso de nada si no tiene competencia según él.
2º Las infraestructuras comunes benefician tanto a Madrid como al RESTO de comunidades. No es unívoco.
3º Que Madrid adquiriera la vacuna no perjudica al resto de autonomías. Falso dilema como una casa.",Society Politics 
Estoy de acuerdo con Rallo en que gestionar al más alto nivel no tiene por qué ser mejor. Siempre lo he pensado y el gran elefante europeo lo demuestra cada día,Society Politics 
Tengo la extraña teoría de que Miguel Bose suplanto a Pedro Insua. 41:10,Society Politics 
"Que la media de edad de mortalidad de este virus ( ah, y la gripe que ha desaparecido 😂) es de entre 83 y 86 añitos. Jamás que el ser humano muera de anciano, se ha denominado pandemia",Society Politics 
"entonces te pregunto Pedro, ¿estarías de acuerdo con una sociedad española centralizada donde comunidades y ayuntamientos no tuviesen cabida?, es decir, una sociedad totalitaria donde cada 4 años elijamos un presidente para gestionar el país",Society Politics 
Furor furor nananananana,Society Politics 
"Lo único que si está cambiando, es la utilización del virus que está mutando hacia una gran dictadura",Society Politics 
Buen debate,Society Politics 
Llegue justo cuando hay 9999 visualizaciones 🤣,Society Politics 
"Con todo mis perdones y creo que es gallego como yo, pero Sergio de donde has sacado a este hombre que ni sabe hablar, ni expresarse, tampoco tiene argumento 5 minutos para no decir nada, al menos coherente... además de desde irse, bochornoso la verdad...",Society Politics 
Ya lo dicen que un tonto con internet gana influencia...,Society Politics 
"""Salvo en la ficción que estaís manteniendo todos"" jajajajaja",Society Politics 
"Espera un momento, dentro de tu libertad entras en un local que está a tope, permites que te sienten un tío detrás tuya, espalda con espalda y la.culpa es de Ayuso y de la policía que no te echa a patadas por ser un irresponsable? Para flipar señores, he aquí la hipocresía en persona, nos quejamos de que las medidas son insuficientes pero mientras se pueda nos aprovechamos de ellas.",Society Politics 
"Creo que Insua está muy sobrevalorado. Lo único que ha balbuceado machaconamente, ignorando todo contraargumento o acotación y después de consumir minutos y minutos de turno de palabra, es que no se puede debatir porque el debate no se plantea en los términos que él dice. Luego ha alabado a esos dos chicos que lo único que han hecho ha sido sacar un puñado de datos estadísticos que parecían desfavorables a Ayuso (ahí sí que le ha parecido bien).
Y ya de traca ha sido denigrar a Ayuso por haber comprado material en lugar de exigirlo, como si no hubiera habido escándalos con la negligencia del gobierno en la compra de ese material, como si no hubiera habido una voluntad declarada, y contrastada, del gobierno en perjudicar en lo posible la gestión por parte de Ayuso en la comunidad de Madrid (incluyendo la obscena retención en aduanas de cargamentos de material sanitario en los momentos de más desabastecimiento)...
En fin, uno está interesado en cualquier debate que enriquezca su punto de vista, pero cuando los argumentos de la izquierda intelectual para atacar al rival político se reducen a eso...",Society Politics 
El Luca este qué ha ganado un bono para ver el debate en directo?,Society Politics 
No os parece que UTBH está cancelado en todos lados y monta unos debates y entrevistas que barren a casi todos los otros canales de youtube y a todos los de las televisiones?,Society Politics 
"Mientras no haya fútbol, estas discusiones en las gradas tienen a la fanaticada tranquila",Society Politics 
"Pedro ,eres un coñazo de cojones",Society Politics 
Faltó Jano García,Society Politics 
"Pedro ,solo vende sus libros",Society Politics 
Madre mía el nivel de Pedro Insúa... parecía que estaba en la televisión. Que horror debatir así...,Society Politics 
"Pedro Insúa, muchas gracias por arruinar el debate. He dejado de verlo gracias a ti. Pensaba que el debate iba sobre las elecciones se Madrid, pero gracias a ti, ha sido imposible 👏🏻👏🏻👏🏻",Society Politics 
Me encanta como Rallo le calla la bocaza a todos esos niñatos youtubers,Society Politics 
"Sinceramente, estáis debatiendo con tres personas que vaya... El del centro cuidado el nivel...",Society Politics 
La cara de Juan Ramón cuando Pedro afirma que la economía de Madrid no existe....UN POEMA 🤦‍♀️🤦‍♀️🤦‍♀️,Society Politics 
Pablo Iglesias marcharse de la política'? hay que ser ilusos....,Society Politics 
Gracias 🤞❤️,Society Politics 
Gracias,Society Politics 
Ciudadanos está dispuesto a pactar hasta con Potermos,Society Politics 
"Insua parece un perro rabioso, rallo debe educarlo.",Society Politics 
"Como no esta Mathsurf en este debate????? No me lo creo...

MATHSURF SUIZA EN LOS DEBATES YA!",Society Politics 
"Furor furor, espera al yonki de Alonso Caparrós 😂😂",Society Politics 
"Condón humano!!! Vistete otra vez con el traje!!!

Que no os engañe; condón es social comunista",Society Politics 
Debate es cuando hay gente de verdad de diferentes posturas. Esto es una conversación en la que todos aman a rallo,Society Politics 
"Lo de Insúa es penoso. No acerca de lo de sus ideas sobre si las autonomías existen o no, ese debate es perfectamente legítimo si la moción se centra en eso, pero lo que no puedes hacer es traer esas ideas (que insisto, pueden ser valiosas) a una moción que ya tiene preconcebido que las autonomías existen ergo las premisas deben partir en base a eso. Si tú aceptas entrar a un debate sobre las elecciones madrileñas debes hablar sobre las elecciones madrileñas, no a venir a traer tus ideas sobre si debe existir Madrid como autonomía, porque sino se pierde el espíritu de lo que estamos hablando y nos vamos a desviar a un debate que puede ser interesante pero no es lo que estamos tratando. Es como que Rallo hubiera dicho: no, las elecciones en las autonomías solo refuerzan más el aparato estatal y el Estado no debe de existir, por lo tanto hablar de las elecciones de Madrid no tiene razón de ser. Vale, sobre si el Estado debe de existir o no es un debate muy legítimo pero no es el espíritu de la moción, se puede tocar después. 

Si aceptaste entrar a un debate, síguelo, no te enfrasques en tus ideas. Porque si no nos desviamos y y no vamos a llegar a ninguna parte, ademas se sobreentiende que todos los que están ahí quieren debatir sobre las elecciones de madrid partiendo de la idea de que existen autonomías. No partir de ahí es faltarle el respeto al otro y no respetar su tiempo que está invirtiendo, que seguro que muchos de ellos son los bastante ocupados como para que los traigan a debatir sobre algo que no acordaron a priori.

Penoso.",Society Politics 
Aumentó la afiliación en Seguridad Social en Madrid y Andalucía: VAya! casualidad que justo donde NO GOBIERNA LA IZQUIERDA,Society Politics 
"Rayo es el puto amo, lo de Insúa un esperpento",Society Politics 
"Que en otra CCAA hubiera habido una multa?
JAJAJAJAJ
Furor TV se os ve el furor",Society Politics 
"FurorTV se ha metido una buena trola para argumentar sus imbecilidades, menos mal que infoVlogger ha estado rápido y al loro para desmontárselo, definitivamente es mi gayer preferido. Genio!!!",Society Politics 
Pero qué dice Pedro Insua?,Society Politics 
"EL MUTE COLEGAS, VAYA TELA:......",Society Politics 
En el 1:12 uno de ellos sacando una foto de Rallo para presumir jajajaja,Society Politics 
echar a ese personaje que no deja hablar a nadie,Society Politics 
Pedro Insua está fumado... 🤣,Society Politics 
